,Anime,Score,Members,Year,season
0,Kono Subarashii Sekai ni Shukufuku wo! 3,8.55,306K,2018,autumn
1,Kimetsu no Yaiba: Hashira Geiko-hen,N/A,253K,2018,autumn
2,Tensei shitara Slime Datta Ken 3rd Season,8.41,235K,2018,autumn
3,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,8.37,225K,2018,autumn
4,Boku no Hero Academia 7th Season,N/A,182K,2018,autumn
5,Kaijuu 8-gou,8.21,144K,2018,autumn
6,"Maou Gakuin no Futekigousha II: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou Part 2",7.59,122K,2018,autumn
7,Ookami to Koushinryou: Merchant Meets the Wise Wolf,8.25,119K,2018,autumn
8,Wind Breaker,7.95,102K,2018,autumn
9,Kono Subarashii Sekai ni Shukufuku wo! 3,8.55,306K,2019,autumn
10,Kimetsu no Yaiba: Hashira Geiko-hen,N/A,253K,2019,autumn
11,Tensei shitara Slime Datta Ken 3rd Season,8.41,235K,2019,autumn
12,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,8.37,225K,2019,autumn
13,Boku no Hero Academia 7th Season,N/A,182K,2019,autumn
14,Kaijuu 8-gou,8.21,144K,2019,autumn
15,"Maou Gakuin no Futekigousha II: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou Part 2",7.59,122K,2019,autumn
16,Ookami to Koushinryou: Merchant Meets the Wise Wolf,8.25,119K,2019,autumn
17,Wind Breaker,7.95,102K,2019,autumn
18,Kono Subarashii Sekai ni Shukufuku wo! 3,8.55,306K,2020,autumn
19,Kimetsu no Yaiba: Hashira Geiko-hen,N/A,253K,2020,autumn
20,Tensei shitara Slime Datta Ken 3rd Season,8.41,235K,2020,autumn
21,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,8.37,225K,2020,autumn
22,Boku no Hero Academia 7th Season,N/A,182K,2020,autumn
23,Kaijuu 8-gou,8.21,144K,2020,autumn
24,"Maou Gakuin no Futekigousha II: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou Part 2",7.59,122K,2020,autumn
25,Ookami to Koushinryou: Merchant Meets the Wise Wolf,8.25,119K,2020,autumn
26,Wind Breaker,7.95,102K,2020,autumn
27,Kono Subarashii Sekai ni Shukufuku wo! 3,8.55,306K,2021,autumn
28,Kimetsu no Yaiba: Hashira Geiko-hen,N/A,253K,2021,autumn
29,Tensei shitara Slime Datta Ken 3rd Season,8.41,235K,2021,autumn
30,Mushoku Tensei II: Isekai Ittara Honki Dasu Part 2,8.37,225K,2021,autumn
31,Boku no Hero Academia 7th Season,N/A,182K,2021,autumn
32,Kaijuu 8-gou,8.21,144K,2021,autumn
33,"Maou Gakuin no Futekigousha II: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou Part 2",7.59,122K,2021,autumn
34,Ookami to Koushinryou: Merchant Meets the Wise Wolf,8.25,119K,2021,autumn
35,Wind Breaker,7.95,102K,2021,autumn
36,Kono Subarashii Sekai ni Shukufuku wo! 3,8.55,306K,2022,autumn
37,Kimetsu no Yaiba: Hashira Geiko-hen,N/A,253K,2022,autumn
