Timestamp,Anxiety,Depression,Insomnia,Age group
8/27/2022 19:29:02,3.0,0.0,1.0,Jóvenes
8/27/2022 19:57:31,7.0,2.0,2.0,Adultos
8/27/2022 21:28:18,7.0,7.0,10.0,Jóvenes
8/27/2022 21:40:40,9.0,7.0,3.0,Adultos
8/27/2022 21:54:47,7.0,2.0,5.0,Jóvenes
8/27/2022 21:56:50,8.0,8.0,7.0,Jóvenes
8/27/2022 22:00:29,4.0,8.0,6.0,Jóvenes
8/27/2022 22:18:59,5.0,3.0,5.0,Jóvenes adultos
8/27/2022 22:33:05,2.0,0.0,0.0,Jóvenes
8/27/2022 22:44:03,2.0,2.0,5.0,Jóvenes
8/27/2022 22:51:15,7.0,7.0,4.0,Jóvenes
8/27/2022 23:00:32,1.0,0.0,0.0,Jóvenes
8/27/2022 23:12:03,2.0,1.0,2.0,Jóvenes
8/27/2022 23:16:06,6.0,4.0,7.0,Jóvenes
8/27/2022 23:19:52,7.0,5.0,4.0,Jóvenes
8/27/2022 23:39:41,8.0,8.0,4.0,Jóvenes
8/27/2022 23:39:49,5.0,7.0,10.0,Jóvenes
8/27/2022 23:40:55,7.0,5.0,0.0,Jóvenes
8/27/2022 23:41:36,7.0,3.0,0.0,Niños
8/27/2022 23:43:06,6.0,9.0,3.0,Niños
8/28/2022 0:28:02,10.0,10.0,2.0,Jóvenes
8/28/2022 1:39:02,6.0,7.0,5.0,Jóvenes
8/28/2022 3:19:08,3.0,3.0,8.0,Jóvenes
8/28/2022 4:13:11,10.0,6.0,8.0,Jóvenes
8/28/2022 4:38:14,7.0,4.0,2.0,Jóvenes
8/28/2022 4:40:36,8.0,6.0,10.0,Niños
8/28/2022 5:05:51,3.0,2.0,1.0,Jóvenes
8/28/2022 5:16:30,6.0,6.0,4.0,Jóvenes
8/28/2022 8:36:27,8.0,2.0,1.0,Jóvenes
8/28/2022 10:30:22,7.0,7.0,2.0,Jóvenes
8/28/2022 10:38:05,4.0,4.0,4.0,Jóvenes
8/28/2022 10:54:30,9.0,8.0,2.0,Jóvenes
8/28/2022 10:59:53,5.0,6.0,6.0,Jóvenes
8/28/2022 11:08:51,0.0,0.0,0.0,Jóvenes
8/28/2022 11:13:25,3.0,2.0,1.0,Jóvenes
8/28/2022 11:25:49,6.0,8.0,0.0,Jóvenes adultos
8/28/2022 11:27:15,2.0,0.0,4.0,Jóvenes
8/28/2022 11:36:35,9.0,8.0,1.0,Jóvenes adultos
8/28/2022 11:39:21,7.0,2.0,8.0,Jóvenes
8/28/2022 11:50:31,4.0,2.0,3.0,Jóvenes adultos
8/28/2022 11:54:45,7.0,6.0,5.0,Jóvenes
8/28/2022 11:55:54,3.0,2.0,10.0,Adultos
8/28/2022 11:58:48,6.0,6.0,8.0,Jóvenes
8/28/2022 12:08:29,1.0,0.0,8.0,Jóvenes
8/28/2022 12:12:35,7.0,3.0,1.0,Jóvenes
8/28/2022 12:15:02,8.0,9.0,3.0,Adultos
8/28/2022 12:23:52,9.0,6.0,4.0,Jóvenes adultos
8/28/2022 12:30:08,7.0,9.0,5.0,Jóvenes
8/28/2022 12:32:09,7.0,4.0,2.0,Jóvenes
8/28/2022 12:37:17,0.0,0.0,0.0,Jóvenes
8/28/2022 12:39:49,7.0,8.0,7.0,Jóvenes
8/28/2022 12:52:19,10.0,6.0,3.0,Jóvenes adultos
8/28/2022 12:53:01,3.0,7.0,5.0,Jóvenes adultos
8/28/2022 12:54:35,8.0,7.0,4.0,Jóvenes adultos
8/28/2022 13:01:42,0.0,0.0,1.0,Jóvenes
8/28/2022 13:05:46,8.0,6.0,2.0,Jóvenes
8/28/2022 13:08:24,9.0,0.0,10.0,Adultos
8/28/2022 13:09:53,6.0,4.0,2.0,Jóvenes adultos
8/28/2022 13:18:19,7.0,0.0,0.0,Jóvenes adultos
8/28/2022 13:22:36,10.0,1.0,0.0,Jóvenes
8/28/2022 13:22:53,8.0,7.0,0.0,Jóvenes adultos
8/28/2022 13:34:00,3.0,2.0,6.0,Niños
8/28/2022 13:34:27,5.0,5.0,3.0,Jóvenes adultos
8/28/2022 13:42:20,10.0,10.0,3.0,Adultos
8/28/2022 13:43:06,5.0,4.0,10.0,Adultos
8/28/2022 13:46:03,0.0,0.0,8.0,Jóvenes adultos
8/28/2022 13:48:11,8.0,8.0,5.0,Jóvenes adultos
8/28/2022 13:55:45,10.0,7.0,8.0,Adultos
8/28/2022 13:57:47,7.0,3.0,1.0,Adultos
8/28/2022 13:59:16,8.0,7.0,4.0,Jóvenes
8/28/2022 14:00:18,10.0,2.0,0.0,Adultos
8/28/2022 14:01:08,9.0,8.0,1.0,Jóvenes
8/28/2022 14:02:12,6.0,3.0,1.0,Jóvenes adultos
8/28/2022 14:04:09,7.0,7.0,0.0,Jóvenes adultos
8/28/2022 14:04:20,7.0,7.0,8.0,Jóvenes
8/28/2022 14:07:29,4.0,1.0,0.0,Jóvenes
8/28/2022 14:08:57,7.0,2.0,1.0,Jóvenes
8/28/2022 14:10:04,9.0,0.0,5.0,Jóvenes
8/28/2022 14:10:17,2.0,7.0,1.0,Jóvenes
8/28/2022 14:12:55,10.0,8.0,7.0,Jóvenes
8/28/2022 14:14:48,3.0,0.0,0.0,Jóvenes
8/28/2022 14:18:22,7.0,8.0,5.0,Jóvenes adultos
8/28/2022 14:24:10,2.0,1.0,0.0,Jóvenes
8/28/2022 14:25:08,5.0,4.0,0.0,Jóvenes
8/28/2022 14:26:12,9.0,10.0,6.0,Adultos
8/28/2022 14:29:29,2.0,0.0,0.0,Niños
8/28/2022 14:30:34,5.0,2.0,5.0,Adultos
8/28/2022 14:38:19,3.0,2.0,0.0,Jóvenes adultos
8/28/2022 14:41:04,2.0,0.0,7.0,Adultos
8/28/2022 14:45:44,7.0,6.0,6.0,Jóvenes adultos
8/28/2022 14:47:08,5.0,4.0,8.0,Adultos
8/28/2022 14:49:18,4.0,6.0,5.0,Jóvenes adultos
8/28/2022 14:51:02,6.0,2.0,3.0,Adultos
8/28/2022 14:58:17,8.0,2.0,1.0,Jóvenes
8/28/2022 14:59:05,9.0,6.0,0.0,Jóvenes adultos
8/28/2022 15:02:14,0.0,3.0,7.0,Jóvenes
8/28/2022 15:03:51,8.0,9.0,6.0,Adultos
8/28/2022 15:03:56,4.0,1.0,1.0,Jóvenes
8/28/2022 15:07:16,8.0,7.0,5.0,Niños
8/28/2022 15:09:31,3.0,4.0,6.0,Jóvenes
8/28/2022 15:22:00,1.0,1.0,3.0,Jóvenes adultos
8/28/2022 15:32:38,10.0,8.0,6.0,Jóvenes
8/28/2022 15:41:56,6.0,6.0,2.0,Jóvenes adultos
8/28/2022 16:04:58,6.0,7.0,0.0,Jóvenes
8/28/2022 16:07:28,8.0,4.0,10.0,Jóvenes adultos
8/28/2022 16:07:51,9.0,7.0,6.0,Adultos
8/28/2022 16:08:12,7.0,4.0,6.0,Jóvenes
8/28/2022 16:13:28,6.0,7.0,0.0,Adultos
8/28/2022 16:15:08,10.0,0.0,10.0,Jóvenes adultos
8/28/2022 16:15:08,6.0,3.0,0.0,Jóvenes adultos
8/28/2022 16:15:39,7.0,5.0,5.0,Jóvenes
8/28/2022 16:15:58,7.0,10.0,5.0,Jóvenes
8/28/2022 16:23:43,8.0,6.0,0.0,Jóvenes adultos
8/28/2022 16:27:00,4.0,3.0,0.0,Jóvenes
8/28/2022 16:30:17,7.0,6.0,7.0,Jóvenes adultos
8/28/2022 16:30:36,7.0,3.0,2.0,Jóvenes adultos
8/28/2022 16:32:40,2.0,7.0,5.0,Jóvenes adultos
8/28/2022 16:34:03,7.0,8.0,6.0,Jóvenes
8/28/2022 16:37:00,4.0,7.0,1.0,Jóvenes adultos
8/28/2022 16:37:10,7.0,8.0,5.0,Jóvenes adultos
8/28/2022 16:53:26,5.0,2.0,8.0,Jóvenes
8/28/2022 16:58:35,10.0,7.0,4.0,Jóvenes
8/28/2022 17:14:08,6.0,5.0,0.0,Jóvenes adultos
8/28/2022 17:14:32,7.0,2.0,3.0,Jóvenes adultos
8/28/2022 17:15:18,4.0,7.0,7.0,Jóvenes adultos
8/28/2022 17:15:27,4.0,5.0,6.0,Jóvenes
8/28/2022 17:19:10,7.0,10.0,5.0,Niños
8/28/2022 17:27:12,6.0,4.0,5.0,Jóvenes adultos
8/28/2022 17:32:18,4.0,1.0,3.0,Adultos
8/28/2022 17:33:12,6.0,6.0,1.0,Jóvenes adultos
8/28/2022 17:37:42,10.0,8.0,7.0,Jóvenes adultos
8/28/2022 17:40:15,10.0,8.0,2.0,Adultos
8/28/2022 17:41:15,3.0,6.0,2.0,Adultos
8/28/2022 17:43:22,8.0,9.0,2.0,Jóvenes adultos
8/28/2022 17:54:30,8.0,3.0,8.0,Jóvenes
8/28/2022 17:56:27,3.0,3.0,1.0,Jóvenes
8/28/2022 18:02:14,6.0,5.0,2.0,Jóvenes
8/28/2022 18:03:27,0.0,0.0,4.0,Jóvenes
8/28/2022 18:03:50,6.0,5.0,0.0,Jóvenes adultos
8/28/2022 18:06:24,3.0,8.0,0.0,Jóvenes
8/28/2022 18:08:44,1.0,8.0,0.0,Jóvenes
8/28/2022 18:13:47,5.0,6.0,6.0,Jóvenes adultos
8/28/2022 18:17:00,0.0,0.0,0.0,Adultos
8/28/2022 18:17:46,0.0,8.0,0.0,Jóvenes adultos
8/28/2022 18:18:12,3.0,7.0,0.0,Adultos
8/28/2022 18:18:18,8.0,8.0,8.0,Jóvenes adultos
8/28/2022 18:18:24,5.0,2.0,3.0,Jóvenes
8/28/2022 18:21:19,8.0,8.0,3.0,Jóvenes adultos
8/28/2022 18:28:48,6.0,8.0,8.0,Jóvenes
8/28/2022 18:30:21,6.0,8.0,6.0,Jóvenes adultos
8/28/2022 18:33:32,6.0,6.0,7.0,Adultos
8/28/2022 18:35:17,9.0,10.0,3.0,Jóvenes adultos
8/28/2022 18:51:10,7.0,7.0,5.0,Jóvenes adultos
8/28/2022 18:53:03,10.0,7.0,2.0,Jóvenes adultos
8/28/2022 18:54:47,1.0,3.0,0.0,Jóvenes adultos
8/28/2022 18:55:44,5.0,3.0,2.0,Jóvenes
8/28/2022 18:56:54,6.0,8.0,1.0,Jóvenes adultos
8/28/2022 18:57:39,7.0,2.0,0.0,Adultos
8/28/2022 18:58:09,6.0,9.0,9.0,Jóvenes
8/28/2022 18:58:27,1.0,1.0,4.0,Jóvenes adultos
8/28/2022 18:59:40,0.0,2.0,0.0,Jóvenes
8/28/2022 18:59:53,8.0,8.0,2.0,Adultos
8/28/2022 19:04:05,3.0,3.0,7.0,Jóvenes adultos
8/28/2022 19:04:26,8.0,8.0,3.0,Jóvenes adultos
8/28/2022 19:07:16,6.0,4.0,0.0,Jóvenes
8/28/2022 19:10:07,1.0,0.0,0.0,Jóvenes adultos
8/28/2022 19:12:02,5.0,5.0,4.0,Jóvenes adultos
8/28/2022 19:16:43,8.0,9.0,6.0,Jóvenes
8/28/2022 19:18:53,8.0,8.0,7.0,Adultos
8/28/2022 19:20:03,3.0,0.0,2.0,Adultos
8/28/2022 19:22:30,0.0,5.0,1.0,Jóvenes
8/28/2022 19:26:23,6.0,3.0,0.0,Jóvenes
8/28/2022 19:27:46,1.0,7.0,5.0,Jóvenes adultos
8/28/2022 19:29:08,4.0,2.0,1.0,Jóvenes
8/28/2022 19:29:25,5.0,6.0,0.0,Jóvenes
8/28/2022 19:30:42,1.0,0.0,0.0,Adultos
8/28/2022 19:30:49,8.0,6.0,5.0,Jóvenes
8/28/2022 19:35:58,9.0,4.0,0.0,Jóvenes adultos
8/28/2022 19:40:03,4.0,6.0,6.0,Adultos
8/28/2022 19:46:02,7.0,3.0,1.0,Jóvenes
8/28/2022 19:46:57,10.0,3.0,1.0,Adultos
8/28/2022 19:50:30,8.0,8.0,3.0,Jóvenes adultos
8/28/2022 19:56:46,7.0,6.0,5.0,Jóvenes adultos
8/28/2022 19:59:01,7.0,2.0,3.0,Jóvenes
8/28/2022 20:01:29,10.0,3.5,5.0,Jóvenes
8/28/2022 20:04:49,7.0,5.0,1.0,Jóvenes
8/28/2022 20:12:05,6.0,8.0,9.0,Adultos
8/28/2022 20:14:02,2.0,9.0,2.0,Jóvenes adultos
8/28/2022 20:14:47,7.0,4.0,10.0,Jóvenes
8/28/2022 20:15:28,7.0,5.0,6.0,Jóvenes adultos
8/28/2022 20:20:20,6.0,1.0,0.0,Jóvenes
8/28/2022 20:20:52,3.0,6.0,1.0,Jóvenes adultos
8/28/2022 20:32:41,9.0,10.0,3.0,Jóvenes
8/28/2022 20:33:43,8.0,5.0,8.0,Jóvenes adultos
8/28/2022 20:37:41,8.0,7.0,7.0,Jóvenes adultos
8/28/2022 20:43:43,9.0,9.0,9.0,Jóvenes
8/28/2022 20:50:37,9.0,8.0,9.0,Jóvenes adultos
8/28/2022 20:57:16,9.0,3.0,7.0,Adultos
8/28/2022 20:57:57,10.0,8.0,6.0,Jóvenes adultos
8/28/2022 21:01:18,9.0,6.0,3.0,Jóvenes adultos
8/28/2022 21:03:23,7.0,7.0,8.0,Jóvenes adultos
8/28/2022 21:06:09,9.0,10.0,4.0,Jóvenes
8/28/2022 21:11:09,9.0,9.0,8.0,Adultos
8/28/2022 21:14:34,9.0,10.0,3.0,Jóvenes adultos
8/28/2022 21:14:51,10.0,9.0,8.0,Jóvenes adultos
8/28/2022 21:23:07,6.0,5.0,6.0,Jóvenes adultos
8/28/2022 21:24:10,8.0,6.0,10.0,Jóvenes
8/28/2022 21:26:19,8.0,3.0,6.0,Adultos
8/28/2022 21:28:30,4.0,2.0,1.0,Jóvenes adultos
8/28/2022 21:30:33,2.0,1.0,1.0,Adultos
8/28/2022 21:30:41,10.0,10.0,7.0,Jóvenes
8/28/2022 21:31:40,8.0,9.0,0.0,Jóvenes
8/28/2022 21:47:26,4.0,9.0,6.0,Jóvenes adultos
8/28/2022 21:48:12,4.0,2.0,0.0,Jóvenes
8/28/2022 21:48:29,9.0,2.0,7.0,Adultos
8/28/2022 21:52:44,8.0,6.0,7.0,Adultos
8/28/2022 21:54:05,6.0,5.0,4.0,Jóvenes adultos
8/28/2022 21:55:05,8.0,5.0,2.0,Jóvenes
8/28/2022 21:55:22,7.0,6.0,6.0,Adultos
8/28/2022 22:03:40,10.0,2.0,0.0,Jóvenes
8/28/2022 22:04:16,6.0,0.0,0.0,Jóvenes
8/28/2022 22:05:53,2.0,0.0,1.0,Jóvenes adultos
8/28/2022 22:06:46,3.0,7.0,5.0,Jóvenes
8/28/2022 22:09:11,9.0,0.0,2.0,Adultos
8/28/2022 22:10:24,5.0,4.0,1.0,Jóvenes
8/28/2022 22:11:31,8.0,4.0,0.0,Jóvenes adultos
8/28/2022 22:13:00,8.0,10.0,2.0,Jóvenes adultos
8/28/2022 22:14:01,3.0,6.0,2.0,Adultos
8/28/2022 22:14:30,4.0,4.0,2.0,Adultos
8/28/2022 22:21:12,7.0,5.0,2.0,Niños
8/28/2022 22:30:17,3.0,2.0,0.0,Jóvenes adultos
8/28/2022 22:32:47,9.0,9.0,5.0,Adultos
8/28/2022 22:38:36,3.0,10.0,4.0,Adultos
8/28/2022 22:39:24,9.0,0.0,5.0,Jóvenes adultos
8/28/2022 22:39:58,7.0,6.0,6.0,Adultos
8/28/2022 22:49:17,0.0,9.0,4.0,Jóvenes adultos
8/28/2022 22:51:01,2.0,2.0,2.0,Adultos
8/28/2022 22:51:30,6.0,9.0,2.0,Jóvenes adultos
8/28/2022 22:53:43,6.0,4.0,1.0,Jóvenes adultos
8/28/2022 22:58:10,8.0,9.0,4.0,Jóvenes
8/28/2022 23:04:08,6.0,7.0,4.0,Jóvenes
8/28/2022 23:08:27,7.0,2.0,2.0,Jóvenes adultos
8/28/2022 23:19:35,8.0,6.0,5.0,Adultos
8/28/2022 23:23:20,3.0,10.0,0.0,Adultos
8/28/2022 23:23:41,9.0,4.0,9.0,Adultos
8/28/2022 23:23:50,7.0,9.0,2.0,Jóvenes
8/28/2022 23:26:58,10.0,3.0,1.0,Jóvenes adultos
8/28/2022 23:34:19,0.0,0.0,0.0,Jóvenes
8/28/2022 23:34:37,9.0,6.0,1.0,Niños
8/28/2022 23:40:54,7.0,1.0,3.0,Jóvenes
8/28/2022 23:42:24,9.0,7.0,5.0,Jóvenes
8/28/2022 23:47:13,3.0,1.0,2.0,Jóvenes adultos
8/28/2022 23:50:25,6.0,6.0,8.0,Jóvenes adultos
8/28/2022 23:54:34,10.0,6.0,0.0,Niños
8/28/2022 23:56:06,6.0,3.0,1.0,Jóvenes
8/29/2022 0:03:43,3.0,3.0,0.0,Jóvenes adultos
8/29/2022 0:05:09,9.0,10.0,2.0,Jóvenes adultos
8/29/2022 0:05:36,7.0,5.0,0.0,Jóvenes
8/29/2022 0:21:31,3.0,0.0,4.0,Adultos
8/29/2022 0:32:36,9.0,9.0,6.0,Adultos
8/29/2022 0:33:06,5.0,7.0,7.0,Jóvenes
8/29/2022 0:33:49,0.0,8.0,0.0,Jóvenes adultos
8/29/2022 0:39:19,8.0,4.0,3.0,Jóvenes
8/29/2022 0:39:59,7.0,2.0,0.0,Jóvenes
8/29/2022 0:47:12,9.0,9.0,6.0,Jóvenes adultos
8/29/2022 0:47:59,5.0,7.0,5.0,Adultos
8/29/2022 0:50:03,5.0,1.0,0.0,Jóvenes adultos
8/29/2022 0:50:27,4.0,1.0,3.0,Adultos
8/29/2022 0:54:55,3.0,5.0,3.0,Jóvenes
8/29/2022 0:59:01,2.0,2.0,0.0,Jóvenes
8/29/2022 1:06:46,0.0,1.0,3.0,Jóvenes
8/29/2022 1:17:44,7.0,8.0,6.0,Jóvenes adultos
8/29/2022 1:22:44,6.0,4.0,8.0,Jóvenes adultos
8/29/2022 1:26:19,5.0,6.0,8.0,Jóvenes
8/29/2022 1:34:06,6.0,6.0,2.0,Niños
8/29/2022 1:34:27,8.0,9.0,3.0,Jóvenes
8/29/2022 1:54:06,8.0,4.0,3.0,Jóvenes
8/29/2022 1:59:22,8.0,6.0,5.0,Niños
8/29/2022 2:03:07,8.0,8.0,7.0,Jóvenes adultos
8/29/2022 2:06:14,5.0,2.0,5.0,Niños
8/29/2022 2:10:36,6.0,8.0,4.0,Jóvenes adultos
8/29/2022 2:22:37,7.0,5.0,2.0,Jóvenes adultos
8/29/2022 2:25:53,8.0,8.0,7.0,Jóvenes adultos
8/29/2022 2:28:45,10.0,2.0,0.0,Jóvenes adultos
8/29/2022 2:29:08,8.0,7.0,7.0,Jóvenes adultos
8/29/2022 2:30:08,8.0,8.0,8.0,Jóvenes
8/29/2022 2:30:45,8.0,10.0,9.0,Jóvenes
8/29/2022 2:40:16,6.0,1.0,8.0,Jóvenes adultos
8/29/2022 2:43:40,0.0,4.0,4.0,Adultos
8/29/2022 2:46:27,8.0,10.0,10.0,Jóvenes adultos
8/29/2022 2:46:38,3.0,2.0,0.0,Jóvenes
8/29/2022 2:49:37,5.0,3.0,3.0,Jóvenes
