Timestamp,Fav genre,Age group
8/27/2022 19:57:31,Rock,Adultos
8/27/2022 22:33:05,Rock,Jóvenes
8/27/2022 23:19:52,Pop,Jóvenes
8/28/2022 3:19:08,Pop,Jóvenes
8/28/2022 4:13:11,Rock,Jóvenes
8/28/2022 4:38:14,Pop,Jóvenes
8/28/2022 4:40:36,Rock,Niños
8/28/2022 5:05:51,Pop,Jóvenes
8/28/2022 5:16:30,Pop,Jóvenes
8/28/2022 8:36:27,Pop,Jóvenes
8/28/2022 10:30:22,Rock,Jóvenes
8/28/2022 10:54:30,Metal,Jóvenes
8/28/2022 10:59:53,Rock,Jóvenes
8/28/2022 11:13:25,Pop,Jóvenes
8/28/2022 11:25:49,Pop,Jóvenes adultos
8/28/2022 11:27:15,Pop,Jóvenes
8/28/2022 11:36:35,Rock,Jóvenes adultos
8/28/2022 11:54:45,Rock,Jóvenes
8/28/2022 12:08:29,Metal,Jóvenes
8/28/2022 12:23:52,Rock,Jóvenes adultos
8/28/2022 12:30:08,Metal,Jóvenes
8/28/2022 12:32:09,Pop,Jóvenes
8/28/2022 12:53:01,Pop,Jóvenes adultos
8/28/2022 12:54:35,Rock,Jóvenes adultos
8/28/2022 13:05:46,Rock,Jóvenes
8/28/2022 13:08:24,Rock,Adultos
8/28/2022 13:22:53,Rock,Jóvenes adultos
8/28/2022 13:34:00,Rock,Niños
8/28/2022 13:34:27,Metal,Jóvenes adultos
8/28/2022 13:42:20,Rock,Adultos
8/28/2022 13:43:06,Metal,Adultos
8/28/2022 13:46:03,Rock,Jóvenes adultos
8/28/2022 13:55:45,Metal,Adultos
8/28/2022 13:57:47,Rock,Adultos
8/28/2022 13:59:16,Rock,Jóvenes
8/28/2022 14:00:18,Rock,Adultos
8/28/2022 14:01:08,Rock,Jóvenes
8/28/2022 14:07:29,Metal,Jóvenes
8/28/2022 14:12:55,Rock,Jóvenes
8/28/2022 14:24:10,Rock,Jóvenes
8/28/2022 14:26:12,Rock,Adultos
8/28/2022 14:30:34,Metal,Adultos
8/28/2022 14:45:44,Metal,Jóvenes adultos
8/28/2022 14:51:02,Rock,Adultos
8/28/2022 14:59:05,Metal,Jóvenes adultos
8/28/2022 15:03:51,Rock,Adultos
8/28/2022 15:03:56,Metal,Jóvenes
8/28/2022 15:07:16,Rock,Niños
8/28/2022 15:09:31,Metal,Jóvenes
8/28/2022 15:32:38,Metal,Jóvenes
8/28/2022 15:41:56,Rock,Jóvenes adultos
8/28/2022 16:04:58,Rock,Jóvenes
8/28/2022 16:07:28,Metal,Jóvenes adultos
8/28/2022 16:07:51,Pop,Adultos
8/28/2022 16:08:12,Pop,Jóvenes
8/28/2022 16:13:28,Metal,Adultos
8/28/2022 16:15:08,Metal,Jóvenes adultos
8/28/2022 16:15:08,Metal,Jóvenes adultos
8/28/2022 16:15:39,Pop,Jóvenes
8/28/2022 16:15:58,Pop,Jóvenes
8/28/2022 16:23:43,Rock,Jóvenes adultos
8/28/2022 16:30:36,Metal,Jóvenes adultos
8/28/2022 16:34:03,Rock,Jóvenes
8/28/2022 16:37:10,Rock,Jóvenes adultos
8/28/2022 16:53:26,Rock,Jóvenes
8/28/2022 17:14:08,Rock,Jóvenes adultos
8/28/2022 17:15:27,Pop,Jóvenes
8/28/2022 17:19:10,Rock,Niños
8/28/2022 17:27:12,Metal,Jóvenes adultos
8/28/2022 17:32:18,Rock,Adultos
